n_robots,mean_len,total_len,operation_time,total_time
1,7.95,7.95,40.8,40.8
2,3.13,6.27,19.1,35.8
2,7.48,14.96,40.9,78.3
3,7.52,22.57,41.1,119.5
4,7.6,30.4,42.13,156.84
4,7.48,29.93,42.14,156.71
5,7.79,38.93,44.44,204.52
5,8.22,41.12,50.14,216.54
6,7.95,47.71,50.56,265.12
6,7.7,46.22,45.12,258.51
7,6.88,48.17,47.81,268.55
7,7.08,49.57,47.44,282.0
7,7.18,50.28,45.46,264.37
7,7.1,49.73,47.03,269.28
7,6.78,47.46,46.53,272.52
8,7.0,56.01,49.83,289.87
8,7.05,56.37,48.82,311.42
8,6.91,55.26,52.58,309.71
8,7.04,56.32,62.17,331.35
8,6.87,54.95,51.5,315.31
9,7.32,65.87,53.74,347.74
9,6.82,61.42,49.9,329.66
10,6.84,68.37,55.05,363.7
10,6.48,64.79,53.28,353.27
11,7.33,80.64,53.97,458.47
12,7.5,90.04,63.93,501.34
12,7.65,91.82,70.77,539.25
12,7.36,88.29,58.83,483.79
12,7.64,91.68,63.15,522.33
13,7.37,95.82,57.03,534.53
13,7.34,95.39,63.45,532.4
13,7.29,94.79,66.07,554.5
14,7.2,100.78,63.46,576.04
14,7.01,98.18,59.94,538.5
15,7.03,105.45,62.84,605.18
15,7.54,113.06,69.39,647.77
15,7.75,116.31,76.2,667.37
